Symbol,Sector,Momentum_1W_Percent,Momentum_1M_Percent,Momentum_3M_Percent,Momentum_6M_Percent,Momentum_9M_Percent,Momentum_12M_Percent,Volume_Surge_1W,Volume_Surge_1M,Overall_Rank_1M,Data_Available
ASIANPAINT,Paints,9.3783,15.5167,13.0851,26.4092,28.7385,17.019,2.9105,1.3079,,Yes
INDUSINDBK,Banking,2.6813,11.6486,9.0015,8.0573,-18.7305,-15.5634,2.2545,0.8205,,Yes
UPL,Chemicals,0.8307,11.4277,6.3284,20.0411,17.3668,41.2926,0.9473,1.4829,,Yes
BPCL,Oil & Gas,-0.8018,9.9052,16.0025,18.5593,47.692,28.3368,0.976,1.2917,,Yes
SBILIFE,Financial Services,0.1802,8.7623,7.6621,13.7327,33.8037,28.0494,0.7731,1.0471,,Yes
SBIN,Banking,1.5263,6.6501,16.7561,23.2537,34.0512,18.8567,0.7612,1.1335,,Yes
HCLTECH,IT Services,1.5669,6.6337,6.5909,-2.3515,-6.2386,-13.1008,0.9876,0.7808,,Yes
HDFCLIFE,Financial Services,1.2829,4.2371,-2.8686,2.3616,24.2193,12.0492,0.8519,0.7229,,Yes
SUNPHARMA,Pharmaceuticals,2.3891,4.0566,7.5929,2.2342,6.8958,0.535,0.9313,0.6482,,Yes
RELIANCE,Oil & Gas,1.7075,3.5519,7.4947,7.7693,23.6738,20.4759,0.7199,1.0016,,Yes
LT,Infrastructure,1.2491,3.4007,11.4718,12.7555,20.7927,13.05,0.8478,0.9832,,Yes
ADANIPORTS,Logistics,2.5977,3.1152,10.3677,10.3033,39.6446,18.2444,1.1804,0.8312,,Yes
TCS,IT Services,1.9363,3.0114,0.2388,-10.6701,-17.9609,-22.7267,0.9998,0.7101,,Yes
INFY,IT Services,-1.797,2.8681,0.4411,-2.8885,-17.2011,-17.0388,1.7971,1.1465,,Yes
M&M,Automotive,-1.347,2.7646,8.9233,23.0283,38.5581,29.9168,0.9417,1.1038,,Yes
TITAN,Consumer Goods,0.4407,2.4617,6.5146,8.1389,20.4189,20.7074,0.6898,0.5532,,Yes
BHARTIARTL,Telecom,2.8595,2.3982,8.9349,14.7046,28.1501,36.6753,0.9772,2.0506,,Yes
HINDALCO,Metals & Mining,1.2472,2.2,14.6679,23.7241,22.9669,23.4391,0.7732,1.8459,,Yes
JSWSTEEL,Metals & Mining,-1.9891,1.9735,7.8699,16.1297,18.9327,22.9457,0.8859,0.894,,Yes
TATASTEEL,Metals & Mining,-3.745,1.3434,7.621,8.0414,23.7994,23.4049,1.66,1.1572,,Yes
WIPRO,IT Services,1.1089,1.2975,-2.5793,-0.6384,-20.2318,-55.7981,0.8571,0.7518,,Yes
AXISBANK,Banking,1.5624,1.2724,14.9417,4.4678,23.0586,10.2468,0.8502,0.5727,,Yes
TECHM,IT Services,2.2159,-0.36,-5.5705,-8.0736,-12.7493,-13.343,1.1678,0.8553,,Yes
ONGC,Oil & Gas,-0.7416,-0.4583,4.0642,2.4538,3.2097,-1.2168,1.4356,0.9076,,Yes
COALINDIA,Metals & Mining,1.0841,-0.9345,0.5849,-2.9836,4.5952,-6.3868,0.4886,1.4707,,Yes
NESTLEIND,FMCG,0.276,-1.0736,6.8302,-46.1574,-42.5901,-42.5447,0.4869,0.5459,,Yes
ITC,FMCG,0.3195,-1.1863,0.5172,-4.2126,1.8084,-12.5174,1.7359,0.9542,,Yes
ICICIBANK,Banking,1.0822,-1.2443,-4.0263,-4.7916,11.3589,9.5377,0.8336,1.0292,,Yes
HDFCBANK,Banking,-0.2118,-1.3311,-50.2263,-48.4556,-41.5303,-41.9623,0.6982,0.8755,,Yes
DIVISLAB,Pharmaceuticals,-0.4282,-1.4007,8.4346,-0.4053,13.1048,12.9165,0.7805,0.7769,,Yes
TATACONSUM,FMCG,0.1384,-1.5811,4.7498,2.7603,15.3187,24.3943,1.022,1.1527,,Yes
HEROMOTOCO,Automotive,2.2335,-1.8171,7.8368,29.5162,43.7601,17.0188,1.2031,0.5116,,Yes
GRASIM,Cement,0.2738,-2.4737,-2.8448,4.0679,14.4937,10.5774,0.9226,1.2902,,Yes
DRREDDY,Pharmaceuticals,2.8477,-2.8081,0.0482,1.9473,8.1785,4.3945,0.5247,1.0685,,Yes
BAJAJ-AUTO,Automotive,-0.5846,-3.0851,0.1756,1.2538,3.9613,-7.0772,1.1985,0.8863,,Yes
BAJAJFINSV,Financial Services,3.8404,-3.4583,5.4787,3.2384,9.921,27.8342,3.0656,1.2943,,Yes
ULTRACEMCO,Cement,0.4144,-3.8231,-7.7676,1.661,6.4241,11.6933,0.7219,1.0381,,Yes
NTPC,Power,0.551,-3.9479,-3.962,-3.7932,0.6743,-10.4309,0.8314,0.9326,,Yes
BRITANNIA,FMCG,-2.4704,-4.3904,1.7979,6.731,20.108,18.1651,2.7209,1.63,,Yes
MARUTI,Automotive,0.2493,-4.5056,10.2876,26.0265,27.2696,41.3744,0.6238,0.8293,,Yes
EICHERMOT,Automotive,-2.5898,-4.5412,12.7579,24.2807,34.9132,37.315,1.5551,1.043,,Yes
BAJFINANCE,Financial Services,1.3231,-5.7817,14.7218,-88.8555,-87.8702,-84.4929,1.7616,0.9882,,Yes
POWERGRID,Power,1.3637,-5.864,-5.9293,-6.7377,3.5892,-13.0588,1.004,1.1064,,Yes
KOTAKBANK,Banking,-0.345,-6.0575,3.083,0.6729,6.4847,20.7198,0.7751,0.6775,,Yes
HINDUNILVR,FMCG,0.0082,-6.4254,-9.0681,4.1618,8.2997,0.1981,0.8841,1.0511,,Yes
CIPLA,Pharmaceuticals,1.1354,-6.528,-0.9055,4.3309,3.8184,4.5624,0.5904,1.3393,,Yes
